Disease,Associated Biomarkers,Applications,Biological Sources,Mechanisms / Pathways,Relevant Terms
Hyperlipidemia,"Cholesterol, HDL (High-Density Lipoprotein), HDL (high-density lipoprotein), LDL (Low-Density Lipoprotein), LDL (low-density lipoprotein), Lipoprotein(a), Total cholesterol, Triglycerides, VLDL (Very Low-Density Lipoprotein)","Diagnosis, Monitoring of cholesterol levels, Monitoring of treatment efficacy, Prognosis, Risk assessment",Blood,"Atherosclerosis, Atherosclerotic plaque formation, Bile production, Cell membrane formation, Cholesterol biosynthesis, Hormone production, Lipid metabolism, Lipoprotein metabolism, Plaque buildup in arteries, Reverse cholesterol transport, Vitamin D production","Age, Cardiovascular disease, Cholesterol levels, Ethnicity, Familial hypercholesterolemia, Family history, Genetics, HDL (High-Density Lipoprotein) cholesterol, Heart attack, LDL (Low-Density Lipoprotein) cholesterol, Lipid panel, Lipid profile, Lipoprotein apheresis, Lipoproteins, Obesity, Physical inactivity, Race, Saturated fat, Saturated fats, Sex, Smoking, Statins, Stress, Stroke, Trans fat, Triglycerides, Unhealthy lifestyle, VLDL (Very Low-Density Lipoprotein) cholesterol, Weight"
Dyslipidemia,Cholesterol,"Diagnosis, Prognosis",Blood,"Bile production, Cell membrane formation, Hormone production, Reverse cholesterol transport, Vitamin D production","Familial hypercholesterolemia, HDL (High-Density Lipoprotein) cholesterol, LDL (Low-Density Lipoprotein) cholesterol, Lipoproteins, Saturated fat, Statins, Trans fat, Triglycerides, VLDL (Very Low-Density Lipoprotein) cholesterol"
Coronary artery disease,"Cholesterol, HDL (High-Density Lipoprotein), HDL (high-density lipoprotein), LDL (Low-Density Lipoprotein), LDL (low-density lipoprotein), Lipoprotein(a), Total cholesterol, Triglycerides, VLDL (Very Low-Density Lipoprotein)","Diagnosis, Monitoring of cholesterol levels, Monitoring of treatment efficacy, Prognosis, Risk Assessment, Risk assessment",Blood,"Atherosclerosis, Atherosclerotic plaque formation, Bile production, Cell membrane formation, Cholesterol biosynthesis, Hormone production, Lipid metabolism, Lipoprotein metabolism, Plaque buildup in arteries, Provides energy, Reverse cholesterol transport, Vitamin D production, linked to increased risk of coronary artery disease","Age, Cardiovascular disease, Cholesterol levels, Ethnicity, Familial hypercholesterolemia, Family history, Fat, Genetics, HDL (High-Density Lipoprotein) cholesterol, Heart attack, LDL (Low-Density Lipoprotein) cholesterol, Lipid Profile, Lipid panel, Lipid profile, Lipoprotein apheresis, Lipoproteins, Obesity, Physical inactivity, Race, Saturated fat, Saturated fats, Sex, Smoking, Statins, Stress, Stroke, Trans fat, Triglycerides, Unhealthy lifestyle, VLDL (Very Low-Density Lipoprotein) cholesterol, Weight"
Atherosclerosis,"Cholesterol, HDL (High-Density Lipoprotein), HDL (high-density lipoprotein), LDL (Low-Density Lipoprotein), LDL (low-density lipoprotein), LDL Cholesterol, Lipoprotein(a), Total cholesterol, Triglycerides, VLDL (Very Low-Density Lipoprotein)","Diagnosis, Monitoring of cholesterol levels, Monitoring of treatment efficacy, Prognosis, Risk Assessment, Risk assessment",Blood,"Atherosclerosis, Atherosclerotic plaque formation, Bile production, Cell membrane formation, Cholesterol biosynthesis, Contributes to fatty buildups in arteries, Hormone production, Lipid metabolism, Lipoprotein metabolism, Plaque buildup in arteries, Reverse cholesterol transport, Vitamin D production","Age, Bad Cholesterol, Cardiovascular disease, Cholesterol levels, Ethnicity, Familial hypercholesterolemia, Family history, Genetics, HDL (High-Density Lipoprotein) cholesterol, Heart attack, LDL (Low-Density Lipoprotein) cholesterol, Lipid panel, Lipid profile, Lipoprotein apheresis, Lipoproteins, Obesity, Physical inactivity, Race, Saturated fat, Saturated fats, Sex, Smoking, Statins, Stress, Stroke, Trans fat, Triglycerides, Unhealthy lifestyle, VLDL (Very Low-Density Lipoprotein) cholesterol, Weight"
Heart attack,"Cholesterol, HDL Cholesterol, LDL Cholesterol, Triglycerides","Diagnosis, Prognosis, Risk Assessment",Blood,"Bile production, Carries LDL cholesterol away from the arteries and back to the liver, Cell membrane formation, Contributes to fatty buildups in arteries, Hormone production, Provides energy, Reverse cholesterol transport, Stores excess energy from diet, Vitamin D production, contributes to fatty buildups in arteries, linked to increased risk of coronary artery disease","Bad Cholesterol, Familial hypercholesterolemia, Fat, Fat in the body, Good Cholesterol, HDL (High-Density Lipoprotein) cholesterol, LDL (Low-Density Lipoprotein) cholesterol, Lipid Profile, Lipoproteins, Saturated fat, Statins, Trans fat, Triglycerides, VLDL (Very Low-Density Lipoprotein) cholesterol"
Stroke,"Cholesterol, HDL (High-Density Lipoprotein), HDL Cholesterol, LDL (Low-Density Lipoprotein), LDL Cholesterol, Lipoprotein(a), Triglycerides, VLDL (Very Low-Density Lipoprotein)","Diagnosis, Monitoring of treatment efficacy, Prognosis, Risk Assessment",Blood,"Atherosclerotic plaque formation, Bile production, Builds up on artery walls, Carries LDL cholesterol away from the arteries and back to the liver, Cell membrane formation, Cholesterol biosynthesis, Contributes to fatty buildups in arteries, Hormone production, Lipid metabolism, Provides energy, Reverse cholesterol transport, Stores excess energy from diet, Vitamin D production, contributes to fatty buildups in arteries, increasing risk of heart disease, linked to increased risk of coronary artery disease","Age, Bad Cholesterol, Ethnicity, Familial hypercholesterolemia, Family history, Fat, Fat in the body, Genetics, Good Cholesterol, HDL (High-Density Lipoprotein) cholesterol, LDL (Low-Density Lipoprotein) cholesterol, Lipid Profile, Lipoprotein apheresis, Lipoproteins, Obesity, Physical inactivity, Race, Saturated fat, Saturated fats, Sex, Smoking, Statins, Stress, Trans fat, Triglycerides, Unhealthy lifestyle, VLDL (Very Low-Density Lipoprotein) cholesterol, Weight"
Heart disease,"HDL (high-density lipoprotein), HDL Cholesterol, LDL (low-density lipoprotein), LDL Cholesterol, Total Cholesterol, Total cholesterol, Triglycerides, VLDL","Diagnosis, Monitoring of cholesterol levels, Risk Assessment, Risk assessment",Blood,"Atherosclerosis, Builds up on artery walls, HDL, Lipoprotein metabolism, Measure of LDL, Plaque buildup in arteries, Produced by liver, Protects against heart disease by removing LDL cholesterol from blood and arteries, and other lipid components, increasing risk of heart disease, transports triglycerides in blood","Bad Cholesterol, Cardiovascular disease, Cholesterol levels, Good Cholesterol, Heart attack, Lipid Profile, Lipid panel, Lipid profile, Stroke, Very Low-Density Lipoprotein Cholesterol"
Peripheral artery disease,"HDL (high-density lipoprotein), LDL (low-density lipoprotein), LDL Cholesterol, Total cholesterol, Triglycerides","Diagnosis, Monitoring of cholesterol levels, Risk Assessment, Risk assessment",Blood,"Atherosclerosis, Contributes to fatty buildups in arteries, Lipoprotein metabolism, Plaque buildup in arteries","Bad Cholesterol, Cardiovascular disease, Cholesterol levels, Heart attack, Lipid panel, Lipid profile, Stroke"
Carotid artery disease,"Cholesterol, HDL (High-Density Lipoprotein), HDL (high-density lipoprotein), LDL (Low-Density Lipoprotein), LDL (low-density lipoprotein), Lipoprotein(a), Total cholesterol, Triglycerides, VLDL (Very Low-Density Lipoprotein)","Diagnosis, Monitoring of cholesterol levels, Monitoring of treatment efficacy, Prognosis, Risk assessment",Blood,"Atherosclerosis, Atherosclerotic plaque formation, Cholesterol biosynthesis, Lipid metabolism, Lipoprotein metabolism, Plaque buildup in arteries","Age, Cardiovascular disease, Cholesterol levels, Ethnicity, Family history, Genetics, Heart attack, Lipid panel, Lipid profile, Lipoprotein apheresis, Obesity, Physical inactivity, Race, Saturated fats, Sex, Smoking, Statins, Stress, Stroke, Unhealthy lifestyle, Weight"
Hypercholesterolemia,"Cholesterol, HDL (High-Density Lipoprotein), LDL (Low-Density Lipoprotein), Lipoprotein(a), Triglycerides, VLDL (Very Low-Density Lipoprotein)","Diagnosis, Monitoring of treatment efficacy, Prognosis",Blood,"Atherosclerotic plaque formation, Cholesterol biosynthesis, Lipid metabolism","Age, Ethnicity, Family history, Genetics, Lipoprotein apheresis, Obesity, Physical inactivity, Race, Saturated fats, Sex, Smoking, Statins, Stress, Unhealthy lifestyle, Weight"
